pack,issue,title,artist,deezerId,detail
"70's Mega Hits","EXPLICIT","Money","Pink Floyd","116914026","Deezer explicit_lyrics = true"
"Broadway","ODD CUT","The Movie In My Mind (Live)","Miss Saigon Original Cast","85271004","live/remix/instrumental/edit variant"
"Broadway","ODD CUT","The Phantom of the Opera (Edit)","Michael Crawford","3582492861","live/remix/instrumental/edit variant"
"Broadway","ODD CUT","Wishing You Were Somehow Here Again (Live)","Sarah Brightman","41352091","live/remix/instrumental/edit variant"
"Broadway","ODD CUT","Oklahoma (Live On The Ed Sullivan Show, March 27, 1955)","University Of Oklahoma Glee Club","2122188777","live/remix/instrumental/edit variant"
"Broadway","ODD CUT","Send in the Clowns (from ""A Little Night Music"") (Live)","Judi Dench","1277647392","live/remix/instrumental/edit variant"
"Broadway","DUPLICATE","Dancing Queen (From 'Mamma Mia!' Original Motion Picture Soundtrack)","Meryl Streep","915799","also present as ""Dancing Queen (From 'Mamma Mia!' Original Motion Picture Soundtrack)"""
"Broadway","DUPLICATE","When I Kissed The Teacher","Lily James","588221282","also present as ""When I Kissed The Teacher"""
"Broadway","DUPLICATE","Wait for Me","Andre De Shields","689230712","also present as ""Wait for Me (Reprise)"""
"Broadway","DUPLICATE","Wait for Me (Reprise)","Andre De Shields","710340572","also present as ""Wait for Me (Reprise)"""
"Broadway","DUPLICATE","West Side Story: Act I: America","West Side Story Ensemble (Original Motion Picture Soundtrack)","540694","also present as ""West Side Story: Act I: America"""
"Broadway","ODD CUT","I'd Give My Life For You (Live)","Miss Saigon Original Cast","85274384","live/remix/instrumental/edit variant"
"Broadway","DUPLICATE","Grease (2007 Remaster)","Frankie Valli","686931","also present as ""Grease (2007 Remaster)"""
"Broadway","DUPLICATE","One","A Chorus Line Ensemble (2006)","13160711","also present as ""One"""
"Broadway","ODD CUT","I Still Believe (From 'Miss Saigon' / Live)","'Miss Saigon' Original London Cast","85271028","live/remix/instrumental/edit variant"
"Broadway","DUPLICATE","Supercalifragilisticexpialidocious","Julie Andrews","3118718","also present as ""Supercalifragilisticexpialidocious (From ""Mary Poppins"" Soundtrack)"""
"Broadway","DUPLICATE","People","Barbra Streisand","848107","also present as ""People"""
"Broadway","DUPLICATE","A Little Priest","Johnny Depp","738177","also present as ""A Little Priest"""
"Broadway","DUPLICATE","Make 'em Laugh","Donald O'Connor","12646844","also present as ""Make 'em Laugh"""
"Broadway","EXPLICIT","My Shot","Lin-Manuel Miranda","107832272","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","Welcome To The Rock","Joel Hatch","143785152","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","The Bitch Of Living (Original Broadway Cast Recording/2006)","John Gallagher, Jr.","390859761","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","I Can Do Better Than That","Anna Kendrick","422982482","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","I Believe","Andrew Rannells","393557252","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","Totally Fucked (Original Broadway Cast Recording/2006)","Jonathan Groff","390859871","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","Greased Lightnin' (From “Grease”)","John Travolta","781563102","Deezer explicit_lyrics = true"
"Broadway","EXPLICIT","Everyone's a Little Bit Racist","John Tartaglia","628506","Deezer explicit_lyrics = true"
"Classic TV Themes","DUPLICATE","Breaking Bad Main Title Theme (Extended)","Dave Porter","69838319","also present as ""Breaking Bad Main Title Theme (Extended)"""
"Classic TV Themes","ODD CUT","Cheers Theme (Original Demo)","Gary Portnoy","5398448","live/remix/instrumental/edit variant"
"Classic TV Themes","DUPLICATE","""Cheers"" Theme (Full Length Record)","Gary Portnoy","64301897","also present as ""Cheers Theme (Original Demo)"""
"Classic TV Themes","DUPLICATE","I Don't Want To Be (Live)","Gavin DeGraw","807005","also present as ""I Don't Want to Be"""
"Classic TV Themes","ODD CUT","I Don't Want To Be (Live)","Gavin DeGraw","807005","live/remix/instrumental/edit variant"
"Classic TV Themes","JUNK VERSION","Theme From ""The Sopranos"" (Woke Up This Morning)","Smash Hits Cover Band","5154835","karaoke/tribute/cover keyword"
