Title,Artist
"Jyn Erso & Hope Suite","Michael Giacchino"
"Intriguing Possibilities","Trent Reznor and Atticus Ross"
"What Have We Done to Each Other?","Trent Reznor and Atticus Ross"
"Ready The Ships","John Powell"
"Impromptu No. 2 for Piano and Orchestra","Nicholas Britell"
"Sapper's Tree","Hans Zimmer"
"Someone Lived This","Hans Zimmer"
"Main Title / Trinity Infinity (From ""The Matrix"")","Don Davis"
"Journey","Hans Zimmer"
"Memory","Hans Zimmer"
