OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Thor: Ragnarok","Mark Mothersbaugh","417366692"
"(thematic candidate)","","","Agent of Chaos","Hans Zimmer","904638"
"(thematic candidate)","","","The Bourne Identity Main Title","John Powell","119871686"
"(thematic candidate)","","","Gilderoy Lockhart","John Williams","661880"
"(thematic candidate)","","","Jyn Erso & Hope Suite","Michael Giacchino","138166343"
"(thematic candidate)","","","Intriguing Possibilities","Trent Reznor and Atticus Ross","57428351"
"(thematic candidate)","","","What Have We Done to Each Other?","Trent Reznor and Atticus Ross","86334661"
"(thematic candidate)","","","Ready The Ships","John Powell","119437652"
"(thematic candidate)","","","Impromptu No. 2 for Piano and Orchestra","Nicholas Britell","1729061457"
"(thematic candidate)","","","The Room of Requirements","Nicholas Hooper","679869"
"(thematic candidate)","","","Sapper's Tree","Hans Zimmer","413733012"
"(thematic candidate)","","","Someone Lived This","Hans Zimmer","413733102"
"(thematic candidate)","","","Main Title / Trinity Infinity (From ""The Matrix"")","Don Davis","119871440"
"(thematic candidate)","","","Revisiting Normandy (From ""Saving Private Ryan"" Soundtrack)","John Williams","1108041"
"(thematic candidate)","","","Finale & End Credits","John Williams","518465972"
"(thematic candidate)","","","Goldfinger","Shirley Bassey","3276735"
"(thematic candidate)","","","Journey","Hans Zimmer","2674697152"
"(thematic candidate)","","","Memory","Hans Zimmer","413733062"
